epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,2087.43,1.70231,1.00027,1.41754,0.82724,0.71363,0.79143,0.34976,1.92821,1.11991,1.64943,0.00086659,0.00086659,0.00086659
99,2107.92,1.70823,1.01863,1.42133,0.84687,0.72129,0.82043,0.37783,1.87098,1.07424,1.61306,0.000858338,0.000858338,0.000858338
100,2128.41,1.69508,1.0144,1.40496,0.77389,0.69832,0.7482,0.31801,1.97671,1.17914,1.6957,0.000850087,0.000850087,0.000850087
101,2149.74,1.68271,0.97213,1.41503,0.82542,0.75345,0.80443,0.36694,1.86361,1.06393,1.61591,0.000841835,0.000841835,0.000841835
102,2170.41,1.66996,0.97917,1.39742,0.84673,0.77182,0.84136,0.39387,1.83442,1.04867,1.58117,0.000833583,0.000833583,0.000833583
103,2193.65,1.70174,0.98379,1.40885,0.86384,0.76723,0.84749,0.39624,1.83781,1.00294,1.56787,0.000825332,0.000825332,0.000825332
104,2216.73,1.67438,1.01093,1.42349,0.84331,0.73507,0.81528,0.37511,1.87581,1.05003,1.62197,0.00081708,0.00081708,0.00081708
105,2237.65,1.68334,0.99686,1.39713,0.85413,0.73047,0.81298,0.38621,1.83814,1.07633,1.60246,0.000808828,0.000808828,0.000808828
106,2259.33,1.66766,0.99403,1.40916,0.87339,0.76059,0.84264,0.39828,1.82938,0.99899,1.5733,0.000800577,0.000800577,0.000800577
107,2279.92,1.665,0.95143,1.41124,0.87213,0.75206,0.82771,0.3909,1.84564,1.03613,1.58533,0.000792325,0.000792325,0.000792325
108,2300.79,1.65533,0.96389,1.39707,0.8459,0.75957,0.83117,0.38574,1.85331,1.00446,1.59909,0.000784073,0.000784073,0.000784073
109,2322.27,1.6778,0.98023,1.40765,0.87868,0.74732,0.83519,0.37305,1.91423,1.04783,1.62268,0.000775822,0.000775822,0.000775822
110,2342.5,1.68297,0.97548,1.4006,0.82496,0.76263,0.82979,0.38473,1.88496,1.03755,1.60852,0.00076757,0.00076757,0.00076757
111,2364.6,1.6661,0.98765,1.40616,0.8488,0.76515,0.84821,0.38969,1.85372,1.0273,1.58989,0.000759318,0.000759318,0.000759318
112,2384.91,1.67525,0.96128,1.3931,0.83114,0.76417,0.82949,0.3927,1.84987,1.01509,1.59632,0.000751067,0.000751067,0.000751067
113,2404.88,1.63986,0.94597,1.37283,0.8744,0.74885,0.8391,0.38713,1.85954,1.01614,1.59615,0.000742815,0.000742815,0.000742815
114,2426.52,1.64043,0.95884,1.3746,0.84102,0.75343,0.82722,0.39127,1.84658,1.01275,1.58977,0.000734564,0.000734564,0.000734564
115,2446.89,1.63704,0.9556,1.37308,0.85672,0.74426,0.80723,0.36984,1.89027,1.05487,1.61454,0.000726312,0.000726312,0.000726312
116,2467.72,1.65936,0.95862,1.38654,0.83693,0.77795,0.82764,0.38736,1.84701,1.00517,1.60358,0.00071806,0.00071806,0.00071806
117,2489.67,1.62851,0.94259,1.36926,0.86503,0.74273,0.81761,0.38186,1.86828,1.02528,1.60096,0.000709809,0.000709809,0.000709809
118,2509.26,1.66456,0.95378,1.37254,0.86703,0.76876,0.84413,0.38766,1.87344,1.01871,1.59814,0.000701557,0.000701557,0.000701557
119,2529.96,1.66064,0.92769,1.38908,0.86218,0.76642,0.84029,0.3841,1.85179,1.0043,1.58338,0.000693305,0.000693305,0.000693305
120,2551.29,1.62279,0.93845,1.38441,0.85116,0.71669,0.80413,0.36164,1.9203,1.02985,1.6444,0.000685054,0.000685054,0.000685054
121,2571.01,1.61565,0.92614,1.37192,0.87074,0.7737,0.83743,0.38725,1.85331,1.02207,1.60451,0.000676802,0.000676802,0.000676802
122,2593.11,1.60142,0.91847,1.36553,0.83981,0.74119,0.82244,0.37914,1.87102,1.02572,1.61477,0.00066855,0.00066855,0.00066855
123,2613.34,1.65125,0.93961,1.39111,0.8358,0.75651,0.80651,0.38709,1.84797,1.0057,1.62078,0.000660299,0.000660299,0.000660299
124,2634.31,1.61402,0.91672,1.37975,0.85572,0.78254,0.84457,0.38713,1.87698,0.98928,1.6088,0.000652047,0.000652047,0.000652047
125,2655.24,1.62496,0.90423,1.36992,0.85544,0.75651,0.82063,0.38053,1.87495,0.98475,1.63162,0.000643795,0.000643795,0.000643795
126,2675.28,1.60645,0.89749,1.36039,0.85372,0.75957,0.81416,0.37685,1.89205,1.00159,1.64002,0.000635544,0.000635544,0.000635544
127,2697.55,1.63574,0.93738,1.38602,0.86658,0.75957,0.83556,0.39365,1.84357,0.99473,1.60681,0.000627292,0.000627292,0.000627292
128,2717.91,1.61684,0.93698,1.38354,0.88119,0.76099,0.82591,0.39822,1.81853,0.99075,1.58067,0.00061904,0.00061904,0.00061904
129,2737.92,1.59536,0.89578,1.34784,0.88812,0.75369,0.84557,0.40191,1.81747,0.99092,1.59184,0.000610789,0.000610789,0.000610789
130,2759.98,1.61012,0.9137,1.37046,0.85395,0.79479,0.83754,0.3947,1.8302,0.99457,1.58218,0.000602537,0.000602537,0.000602537
131,2780.77,1.59959,0.90615,1.36599,0.87119,0.77683,0.85159,0.39316,1.8505,0.99192,1.60271,0.000594286,0.000594286,0.000594286
132,2801.53,1.60515,0.89929,1.34575,0.88302,0.77948,0.83782,0.39585,1.83104,0.97211,1.59278,0.000586034,0.000586034,0.000586034
133,2823.26,1.61638,0.91141,1.36325,0.85271,0.77029,0.82578,0.38876,1.84898,0.9745,1.61136,0.000577782,0.000577782,0.000577782
134,2843.73,1.58926,0.89191,1.33379,0.88881,0.7712,0.84366,0.40208,1.81814,0.96357,1.57626,0.000569531,0.000569531,0.000569531
135,2866.59,1.59944,0.88924,1.35401,0.87104,0.77795,0.84155,0.39437,1.84416,0.95759,1.61548,0.000561279,0.000561279,0.000561279
136,2887.15,1.57967,0.87931,1.35452,0.88281,0.76417,0.83965,0.39755,1.84086,0.97092,1.59534,0.000553027,0.000553027,0.000553027
137,2906.81,1.5688,0.88965,1.3467,0.8883,0.77948,0.85068,0.39914,1.82429,0.97787,1.58188,0.000544776,0.000544776,0.000544776
138,2928.71,1.57628,0.90219,1.35135,0.86131,0.77029,0.84496,0.39923,1.84324,0.99473,1.58946,0.000536524,0.000536524,0.000536524
139,2949.25,1.56095,0.86285,1.32774,0.88653,0.77771,0.84485,0.39785,1.84075,0.95363,1.60057,0.000528272,0.000528272,0.000528272
140,2970.12,1.56849,0.87422,1.32855,0.88592,0.76113,0.85016,0.40828,1.81692,0.94092,1.57606,0.000520021,0.000520021,0.000520021
141,2991.89,1.58064,0.86718,1.34094,0.88257,0.77029,0.84159,0.4011,1.83077,0.95774,1.59209,0.000511769,0.000511769,0.000511769
142,3012.5,1.557,0.86205,1.32747,0.8877,0.77948,0.85109,0.39393,1.86569,0.94847,1.61977,0.000503517,0.000503517,0.000503517
143,3033.23,1.58383,0.87007,1.34197,0.86492,0.77464,0.83992,0.40136,1.82666,0.94616,1.59094,0.000495266,0.000495266,0.000495266
144,3054.23,1.56525,0.87891,1.33156,0.88646,0.77948,0.84684,0.39089,1.85287,0.96659,1.6044,0.000487014,0.000487014,0.000487014
145,3075.17,1.56138,0.8582,1.33072,0.87048,0.78221,0.85143,0.4011,1.83764,0.94843,1.58162,0.000478762,0.000478762,0.000478762
146,3096.49,1.52199,0.851,1.32828,0.87915,0.79479,0.85805,0.40943,1.82331,0.91689,1.57411,0.000470511,0.000470511,0.000470511
147,3118.08,1.55195,0.85141,1.34034,0.8574,0.78267,0.83873,0.39907,1.81989,0.94828,1.59477,0.000462259,0.000462259,0.000462259
148,3139.12,1.53995,0.83399,1.31527,0.85845,0.78101,0.84096,0.39242,1.84583,0.93907,1.61494,0.000454007,0.000454007,0.000454007
149,3160.07,1.55472,0.86381,1.34478,0.88421,0.77029,0.84988,0.3974,1.84875,0.95304,1.60371,0.000445756,0.000445756,0.000445756
150,3180.71,1.5264,0.83158,1.32116,0.87882,0.78407,0.8385,0.39787,1.83231,0.93569,1.59687,0.000437504,0.000437504,0.000437504
151,3201.38,1.52308,0.85284,1.32723,0.88545,0.79314,0.85959,0.39842,1.84409,0.92832,1.60659,0.000429253,0.000429253,0.000429253
152,3222.65,1.53523,0.82969,1.32514,0.87983,0.7736,0.84,0.39709,1.84328,0.9265,1.61533,0.000421001,0.000421001,0.000421001
153,3243.13,1.52859,0.83969,1.3135,0.87977,0.78867,0.84541,0.39946,1.82879,0.91296,1.60277,0.000412749,0.000412749,0.000412749
154,3263.79,1.54015,0.8454,1.31973,0.88432,0.77265,0.85325,0.40595,1.83325,0.92558,1.58847,0.000404498,0.000404498,0.000404498
155,3284.97,1.50769,0.82121,1.31189,0.86243,0.79686,0.84975,0.39993,1.8302,0.92612,1.60272,0.000396246,0.000396246,0.000396246
